0,5100,0,0,0,0,300,0,240,0,240,0,120,420,540,0,240
5100,0,0,0,0,0,0,0,120,0,120,0,0,60,0,0,0
0,0,0,0,0,0,0,0,2057,0,180,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0
0,0,0,0,60,0,0,0,0,0,420,0,0,0,0,0,0
240,120,2057,0,0,0,0,0,0,60,951,0,180,240,0,223,0
0,0,0,0,0,0,0,0,60,0,103,0,0,0,0,0,0
240,120,180,0,0,0,60,420,951,103,0,43,120,146,180,60,240
0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
120,0,0,0,0,0,0,0,180,0,120,0,0,0,0,0,0
420,60,0,0,0,0,0,0,240,0,146,0,0,0,0,0,0
540,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,900
0,0,0,0,0,0,0,0,223,0,60,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,240,0,0,0,900,0,0
