0,2347,0,0,0,0,1424,0,0,0,1745,0,0,1745,0,0,0
2347,0,0,0,0,0,1295,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,494,0,0,400,0,0,0,254,0
0,0,0,0,342,352,0,366,0,0,744,471,429,0,0,0,0
0,0,0,342,0,0,0,267,0,0,0,0,0,0,0,0,0
0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0
1424,1295,0,0,0,0,0,0,0,0,963,0,0,0,706,0,0
0,0,0,366,267,0,0,0,0,0,0,0,0,0,0,0,0
0,0,494,0,0,0,0,0,0,504,923,584,0,0,0,0,0
0,0,0,0,0,0,0,0,504,0,0,0,0,645,0,0,0
1745,0,0,744,0,0,963,0,923,0,0,0,679,1179,0,0,0
0,0,400,471,0,0,0,0,584,0,0,0,0,0,0,0,0
0,0,0,429,0,0,0,0,0,0,679,0,0,0,0,0,977
1745,0,0,0,0,0,0,0,0,645,1179,0,0,0,0,0,0
0,0,0,0,0,0,706,0,0,0,0,0,0,0,0,0,1244
0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1384,0,0,0,0,0,977,0,1244,0,0
