[[0,5100,0,0,0,0,0,0,1042,0,120,0,0,60,0,0,0],
[5100,0,0,824.4385109,653.8881508,668.3591294,1280.65387,688.2810226,1193.899135,744.2820514,1352.340395,826.5186135,892.963881,1532.316323,1454.370244,0,240],
[0,0,0,0,461.2754057,0,0,478.1294838,2057.142857,0,180,0,0,0,0,0,0],
[0,824.4425149,0,0,495.770727,0,0,515.2931831,651.0091423,0,721.1088195,0,0,0,0,0,0],
[0,653.8906696,461,495.770727,0,614.7228299,0,503.0641343,539.827519,0,587.1576691,0,0,0,526.9360323,0,0]
[0,668.361761,0,0,614.7228299,0,0,449.6609804,549.6524092,0,0,0,0,0,0,0,0],
[0,1280.659535,0,0,0,0,0,0,744.6804923,0,60,0,0,0,0,0,0],
[0,688.2838134,478.1294838,515.2931831,503.0641343,449.6609804,0,0,563.055162,0,1034.740959,0,0,0,549.044817,0,0]
[1042.312977,1193.904495,2057.142857,651.0091423,539.827519,549.6524092,744.6804923,563.055162,0,659.985598,1769.668525,652.3054614,798.4859841,1058.226928,705.8264394,718.0896035,0],
[0,744.2853147,0,0,0,0,0,0,659.985598,0,102.8571429,0,0,0,0,0,0],
[120,1352.347684,180,721.1088195,587.1576691,0,60,1034.740959,1769.668525,102.8571429,0,765.5568244,801.417991,1077.827238,968.982395,60,240]
[0,826.5226377,0,0,0,0,0,0,652.3054614,0,765.5568244,0,0,0,0,0,0],
[0,892.9674007,0,0,0,0,0,0,798.4859841,0,801.417991,0,0,0,0,0,0],
[60,1532.323611,0,0,0,0,0,0,1058.226928,0,1077.827238,0,0,0,0,0,0],
[0,1454.375169,0,0,526,0,0,549.044817,705.8264394,0,968.982395,0,0,0,0,484.3614783,900],
[0,0,0,0,0,0,0,0,718.0896035,0,60,0,0,0,484.3614783,0,0],
[0,240,0,0,0,0,0,0,0,0,240,0,0,0,900,0,0]]
