"This file contains the results of the simulation for the region.Params: number of Infected, number of Exposed, number of Severe Infected,  number of Quarantined,   number of Immunized, number of Susceptible, number of Dead "
0.0,10.0,0.0,0.0,0.0,1981747.0,0.0
0.0,6.0,0.0,0.0,0.0,1981746.0,0.0
0.0,3.0,0.0,0.0,0.0,1981741.0,0.0
0.0,2.0,0.0,0.0,0.0,1981740.0,0.0
