"This file contains the results of the simulation for the region.Params: number of Infected, number of Exposed, number of Severe Infected,  number of Quarantined,   number of Immunized, number of Susceptible, number of Dead "
0.0,10.0,0.0,0.0,0.0,633801.0,0.0
0.0,11.0,0.0,0.0,0.0,633800.0,0.0
0.0,20.0,0.0,0.0,0.0,633788.0,0.0
0.0,25.0,0.0,0.0,0.0,633788.0,0.0
