Day ,Infected ,Exposed ,Severe  Infected ,Quarantined ,Immunized ,Susceptible ,Dead ,Initial  Exposed ,Susceptible  to  Exposed  transition  constant ,Daily  Quarantine  rate  of  the  Exposed ,Daily  Infected  to  Severe  Infected  transition  rate ,Hospital  Capacity ,Severe  Infected  to  Dead  transition  probability ,Severe  Infected  to  Dead  transition  probability  (Hospital  Cap.  Exceeded) ,Infected  to  Recovery  Immunized  transition  probability ,Disease  transmission  rate  of  Exposed  compared  to  Infected ,Disease  transmission  rate  of  Quarantined  compared  to  Infected ,Disease  transmission  rate  of  Severe  Infected  compared  to  Infected ,Incubation  period  (Days) ,Infection    period  (Days) ,Leakage  ratio ,Traffic  ratio ,Airway ,Railway ,Highway
1.0,0.0,0.0,0.0,0.0,0.0,794163.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
2.0,0.0,0.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
3.0,0.0,0.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
4.0,0.0,0.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
5.0,0.0,0.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
6.0,0.0,0.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
7.0,0.0,0.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
8.0,0.0,0.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
9.0,0.0,0.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
10.0,0.0,0.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
11.0,0.0,0.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
12.0,0.0,0.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
13.0,0.0,0.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
14.0,0.0,0.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
15.0,0.0,0.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
16.0,0.0,0.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
17.0,0.0,0.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
18.0,0.0,0.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
19.0,0.0,0.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
20.0,0.0,0.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
21.0,0.0,0.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
22.0,0.0,0.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
23.0,0.0,0.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
24.0,0.0,0.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
25.0,0.0,0.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
26.0,0.0,0.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
27.0,0.0,1.0,0.0,0.0,0.0,794162.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
28.0,0.0,3.0,0.0,0.0,0.0,794160.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
29.0,0.0,6.0,0.0,0.0,0.0,794158.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
30.0,1.0,9.0,0.0,0.0,0.0,794156.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
31.0,3.0,10.0,0.0,0.0,0.0,794154.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
32.0,3.0,16.0,0.0,0.0,0.0,794149.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
33.0,5.0,23.0,0.0,0.0,0.0,794140.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
34.0,10.0,46.0,0.0,0.0,0.0,794115.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
35.0,17.0,81.0,0.0,2.0,0.0,794079.0,0.0,0.0,30.0,2.0,0.35,465.0,7.0,11.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
