Day ,Date ,Infected ,Exposed ,Severe  Infected ,Quarantined ,Immunized ,Susceptible ,Dead ,Isolated ,Initial  Exposed ,Susceptible  to  Exposed  transition  constant ,Daily  Quarantine  rate  of  the  Exposed ,Daily  Infected  to  Severe  Infected  transition  rate ,Hospital  Capacity ,Severe  Infected  to  Dead  transition  probability ,Severe  Infected  to  Dead  transition  probability  (Hospital  Cap.  Exceeded) ,Infected  to  Recovery  Immunized  transition  probability ,Disease  transmission  rate  of  Exposed  compared  to  Infected ,Disease  transmission  rate  of  Quarantined  compared  to  Infected ,Disease  transmission  rate  of  Severe  Infected  compared  to  Infected ,Incubation  period  (Days) ,Infection    period  (Days) ,Leakage  ratio ,Traffic  ratio ,Airway ,Railway ,Highway
1,2020-03-01,0.0,0.0,0.0,0.0,0.0,738589.0,0.0,0.0,0.0,30.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
2,2020-03-02,0.0,0.0,0.0,0.0,0.0,738591.0,0.0,0.0,0.0,30.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
3,2020-03-03,0.0,0.0,0.0,0.0,0.0,738593.0,0.0,0.0,0.0,30.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
4,2020-03-04,0.0,0.0,0.0,0.0,0.0,738595.0,0.0,0.0,0.0,30.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
5,2020-03-05,0.0,0.0,0.0,0.0,0.0,738597.0,0.0,0.0,0.0,30.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
6,2020-03-06,0.0,0.0,0.0,0.0,0.0,738599.0,0.0,0.0,0.0,30.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
7,2020-03-07,0.0,0.0,0.0,0.0,0.0,738601.0,0.0,0.0,0.0,30.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
8,2020-03-08,0.0,0.0,0.0,0.0,0.0,738603.0,0.0,0.0,0.0,30.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
9,2020-03-09,0.0,0.0,0.0,0.0,0.0,738605.0,0.0,0.0,0.0,30.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
10,2020-03-10,0.0,0.0,0.0,0.0,0.0,738607.0,0.0,0.0,0.0,30.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
11,2020-03-11,0.0,0.0,0.0,0.0,0.0,738609.0,0.0,0.0,0.0,30.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
12,2020-03-12,0.0,0.0,0.0,0.0,0.0,738611.0,0.0,0.0,0.0,30.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
13,2020-03-13,0.0,0.0,0.0,0.0,0.0,738612.0,0.0,0.0,0.0,25.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
14,2020-03-14,0.0,1.0,0.0,0.0,0.0,738613.0,0.0,0.0,0.0,25.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
15,2020-03-15,2.0,1.0,0.0,0.0,0.0,738614.0,0.0,0.0,0.0,25.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
16,2020-03-16,2.0,2.0,0.0,0.0,0.0,738615.0,0.0,0.0,0.0,25.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
17,2020-03-17,2.0,4.0,0.0,1.0,0.0,738613.0,0.0,0.0,0.0,25.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
18,2020-03-18,3.0,10.0,0.0,1.0,0.0,738610.0,0.0,0.0,0.0,25.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0
19,2020-03-19,4.0,13.0,0.0,1.0,0.0,738606.0,0.0,0.0,0.0,20.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,1.0,1.0,1.0,1.0
20,2020-03-20,4.0,17.0,0.0,0.0,0.0,738602.0,0.0,1.0,0.0,20.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,1.0,1.0,1.0,1.0
21,2020-03-21,4.0,19.0,0.0,2.0,0.0,738598.0,0.0,1.0,0.0,20.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,1.0,1.0,1.0,1.0
22,2020-03-22,6.0,18.0,0.0,2.0,0.0,738597.0,0.0,1.0,0.0,12.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,0.8,1.0,1.0,1.0
23,2020-03-23,7.0,22.0,0.0,2.0,0.0,738592.0,0.0,1.0,0.0,12.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,0.8,1.0,1.0,1.0
24,2020-03-24,9.0,23.0,0.0,2.0,0.0,738588.0,0.0,1.0,0.0,12.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,0.8,1.0,1.0,1.0
25,2020-03-25,13.0,24.0,0.0,2.0,0.0,738582.0,0.0,1.0,0.0,12.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,0.8,1.0,1.0,1.0
26,2020-03-26,16.0,24.0,0.0,2.0,0.0,738577.0,0.0,2.0,0.0,12.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.25,0.8,1.0,1.0,1.0
27,2020-03-27,21.0,24.0,0.0,1.0,0.0,738572.0,0.0,3.0,0.0,10.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.8,1.0,1.0,1.0
28,2020-03-28,22.0,25.0,0.0,2.0,0.0,738569.0,0.0,3.0,0.0,10.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.8,1.0,1.0,1.0
29,2020-03-29,26.0,25.0,0.0,2.0,0.0,738564.0,0.0,4.0,0.0,10.0,2.0,1.25,895.0,10.0,20.0,90.0,100.0,20.0,20.0,5.0,14.0,0.0,0.8,1.0,1.0,1.0
